"Country","PT","PGR","PUP","P60P","P15P","TFR","IMR","I3R","HER","HGR","HGGR","NDP","NNMP","NPP","NMP","HPP","HPHP","NMPP","HGDP","DR1","DR2","DR3","DR4","TBN","NMN","YCP","YIP","YNCP"
"Paraguay",6016,1.9,59,7,35,3.2,80,66,0.8,38.3,13.2,3182,10261,6355,18,87.7,61.7,1.6,7.6,141,291,57,598,71,12,45,16,39
"Peru",27589,1.1,73,8,31,2.5,99,80,1.6,57.1,13.1,2809,17108,29799,7,77.5,42.9,0.6,4.3,175,190,69,584,162,11,43,15,42
"Philippines",86264,2,63,6,36,3.3,92,87,3.3,39.6,6.4,43220,480910,90370,61,80.2,60.4,5.3,3.3,91,336,58,642,287,15,45,13,42
"Poland",38140,-0.1,62,17,16,1.2,98,99,0.1,69.9,9.9,11881,199622,76046,52,85,30.1,2.6,6.2,180,324,53,593,25,5,4,15,81
"Portugal",10579,0.5,58,22,16,1.5,95,97,0,71.8,15.5,6149,48979,36138,47,80.2,28.2,1.4,10,140,208,33,461,32,3,13,10,77
"Qatar",821,3.1,96,3,21,2.7,92,94,0,78.1,9.7,690,4880,2150,60,88.2,21.9,2.3,4.3,75,340,40,629,60,4,16,21,63
"Romania",21532,-0.4,54,19,15,1.3,97,97,0.8,71,12.4,4360,90698,41455,42,85.2,29,2.2,5.7,141,479,56,728,128,10,11,12,77
"Russia",143221,-0.5,73,17,15,1.3,99,98,0.1,63.2,10.8,45628,1214292,614183,85,81.5,36.8,2,5.3,152,688,217,960,107,7,8,28,64
"Rwanda",9464,2.5,20,4,43,6,99,97,38.9,63.7,27.3,21,3647,432,4,62.5,36.3,8.6,10.4,150,425,126,831,397,48,85,7,8
"Saint Kitts and Nevis",50,1.3,33,11,28,2.3,99,99,0,61.5,9.5,17,198,46,47,94.6,38.5,4.3,5.8,108,420,45,689,11,11,26,12,62
"Saint Lucia",163,1.1,28,10,27,2.2,94,99,0.2,56.4,10.2,9,331,749,23,93.8,43.6,0.4,5.9,129,304,52,646,17,11,20,17,63
"Saint Vincent and the Grenadines",120,0.5,46,9,29,2.2,99,99,0,62.8,9.3,5,447,89,38,100,37.2,5.1,6,155,315,55,685,30,13,27,13,60
"Samoa",185,0.8,23,7,40,4.1,63,71,4.2,81,10.5,10,310,50,17,79,19,6.2,4.9,95,417,40,782,19,14,31,11,58
"San Marino",31,1.4,93,26,14,1.3,92,92,0,83.9,13.3,8,2196,1089,955,96,16.1,2,7.1,140,223,22,380,6,2,5,10,85
"Sao Tome and Principe",155,1.6,59,6,41,4,86,97,43.1,85.4,12.2,11,308,81,19,100,14.6,3.8,10.5,133,396,87,764,103,38,67,12,21
"Saudi Arabia",24175,2.4,81,4,34,3.5,96,96,0,77.2,8.7,4235,74114,34261,30,14.4,22.8,2.2,3.4,109,405,72,701,44,11,22,25,53
"Senegal",12072,2.5,42,6,42,4.9,84,94,13.5,31.5,6.7,97,3287,594,3,90.3,68.5,5.3,5.4,146,426,125,832,270,35,76,11,13
